iter	Logloss
0	0.4516018461
1	0.2933356543
2	0.2132037234
3	0.1871161689
4	0.1565020764
5	0.1350202406
6	0.11803949
7	0.1035677642
8	0.09244048798
9	0.08400826807
10	0.07290345886
11	0.06457465502
12	0.06138270778
13	0.05779899997
14	0.05403686914
15	0.05090390819
16	0.0459676109
17	0.04147105248
18	0.03834316562
19	0.0359633896
20	0.03218225248
21	0.028998166
22	0.02777078398
23	0.02638676208
24	0.02494784471
25	0.02323969613
26	0.02230608002
27	0.02126082803
28	0.02013863487
29	0.01963951515
30	0.0186347852
31	0.01830830599
32	0.01789384682
33	0.01697409376
34	0.01591906903
35	0.01572581429
36	0.01527715202
37	0.01503948988
38	0.01467551132
39	0.01399990253
40	0.01351009286
41	0.01296602227
42	0.01239069068
43	0.01211109576
44	0.01134982988
45	0.01116410526
46	0.01069026764
47	0.01060172513
48	0.01012349149
49	0.01001766932
50	0.009688848201
51	0.009571355459
52	0.009170156928
53	0.008840716971
54	0.008695727297
55	0.008695775651
56	0.00869554863
57	0.00869554863
58	0.008565943116
59	0.008253160604
60	0.007956025609
61	0.007891175814
62	0.007841739035
63	0.007841706965
64	0.007841718255
65	0.00780051891
66	0.00780044146
67	0.007651029816
68	0.007386205821
69	0.007251795972
70	0.007018161644
71	0.007018160913
72	0.00684189436
73	0.006841854495
74	0.006841730538
75	0.006841654227
76	0.006699579484
77	0.00666128337
78	0.006561754314
79	0.006392079511
80	0.006165587261
81	0.005993175023
82	0.005970689743
83	0.005949835361
84	0.005948986951
85	0.005949042402
86	0.005948867916
87	0.005948814483
88	0.005705960125
89	0.005705554081
90	0.005703283318
91	0.005696996194
92	0.005689587653
93	0.005683619646
94	0.005675028353
95	0.005675121079
96	0.005512832309
97	0.005512598964
98	0.005471895033
99	0.005447078395
